"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Quality-driven validation: a link between four research traditions","I. Tervonen","Dept. of Inf. Process. Sci., Oulu Univ., Finland","Proceedings Fourth International Conference on Software Engineering and Knowledge Engineering","","1992","","","370","377","Quality-driven validation is presented as a design rationale extension of software construction and can be defined in terms of three activities: specifying the relevant quality characteristics, justifying the choices made between alternative descriptions by reference to quality characteristics (design rationales), and recording the design rationale in connection with design descriptions. This paper discusses the theoretical aspects of quality-driven validation from information systems, software engineering, artificial intelligence and quality assurance viewpoints, and describes experiments with CASE tools.<>","","","10.1109/SEKE.1992.227966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=227966","","Software quality;Information systems;Software engineering;Artificial intelligence;Quality assurance;Computer aided software engineering","artificial intelligence;information systems;object-oriented methods;program verification;software quality;software tools","object oriented methodologies;design rationale;software construction;quality characteristics;design descriptions;quality-driven validation;information systems;software engineering;artificial intelligence;quality assurance;CASE tools","","2","32","","","","","IEEE","IEEE Conferences"
"Risky Module Estimation in Safety-Critical Software","Y. Kim; C. Jeong; A. Jeong; H. S. Kim","Korea Inst. of Nucl. Safety, Daejeon, South Korea; Korea Inst. of Nucl. Safety, Daejeon, South Korea; NA; NA","2009 Eighth IEEE/ACIS International Conference on Computer and Information Science","","2009","","","967","970","Software used in safety-critical system must have high dependability. Software testing and V&V (Verification and Validation) activities are very important for assuring high software quality. If we can predict the risky modules in safety-critical software, testing activities and regulation activities can be applied to them more intensively. In this paper, we classify the estimated risk classes which can be used for deep testing and V&V. We predict the risk class for each module using support vector machines. We can consider that the modules classified to risk class 5 or 4 are more risky than others relatively. For all classification error rates, we expect that the results can be useful and practical for software testing, V&V, and activities for regulatory reviews. In the future works, to improve the practicality, we will have to investigate other machine learning algorithms and datasets.","","","10.1109/ICIS.2009.83","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5223201","Safety-Critical Software;SVM;Software Testing;Software V&V","Software safety;Support vector machines;Support vector machine classification;Software metrics;Software testing;Machine learning;Kernel;Space technology;Software quality;Classification tree analysis","learning (artificial intelligence);program testing;safety-critical software;software quality;support vector machines","risky module estimation;safety-critical software;safety-critical system;software testing;software quality;testing activities;regulation activities;support vector machines;classification error rates;machine learning algorithms","","1","12","","","","","IEEE","IEEE Conferences"
"A process improvement in requirement verification and validation using ontology","S. Nazir; Y. H. Motla; T. Abbas; A. Khatoon; J. Jabeen; M. Iqra; K. Bakhat","UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan; UIIT - PMAS Arid Agriculture University Rawalpindi Rawalpindi, Pakistan","Asia-Pacific World Congress on Computer Science and Engineering","","2014","","","1","8","The success of software projects depends on fully conveyed requirements. Contribution of stakeholders contributing in software requirements have a place with distinctive domains, because of which ambiguities, inconsistencies might arise moreover giving rise to incorrectness. Many tools are available for software requirements verification and validation but the issue of stakeholders belonging to different domains is still under consideration. As these requirements are not understood properly, it causes schedule delay and greater cost in the last stages of software. Requirements verification and validation are the most vital activities in requirement engineering that guarantees software quality and has an extraordinary impact on software cost and its success. The requirements verification and validation are an affirmation that the product requirements record is free of unwanted requirements and totally reliable. Keeping in mind the end goal of removing conflict, recognizing failures and making the product requirements document completely useful is the key component. So these requirements should be appropriately confirmed and accepted by the clients before conveying to the development team. Thus, ontology might be picked as an answer for checking and approving the requirements among stakeholders of distinctive domains. In this study improving requirement verification and validation process through ontology. We have used expert reviews and case study to evaluate the developed ontology that indicates different concepts, properties and constraints in the process of requirement verification and validation. With the help of the developed ontology, it is shown that its use for requirement verification and validation shows improvement in consistency, applicability and other factors.","","","10.1109/APWCCSE.2014.7053837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7053837","Verification and Validation (V&V);Ontology;Requirements and Process Improvement","Ontologies;Software;Business;Animation;Schedules;Semantics;Prototypes","formal specification;formal verification;ontologies (artificial intelligence);software process improvement;software quality","software requirement verification;software requirement validation;ontology;requirement engineering;software quality;software cost;process improvement","","","26","","","","","IEEE","IEEE Conferences"
"The Time/State-based Software-Intensive Systems Failure Mode Researches","X. Hu; C. Yang; D. Li; Y. Zhu; M. Liu","Software Quality Eng. Res. Center, CEPREI, Guangzhou, China; Software Quality Eng. Res. Center, CEPREI, Guangzhou, China; Software Quality Eng. Res. Center, CEPREI, Guangzhou, China; Software Quality Eng. Res. Center, CEPREI, Guangzhou, China; Software Quality Eng. Res. Center, CEPREI, Guangzhou, China","2013 IEEE Seventh International Conference on Software Security and Reliability Companion","","2013","","","116","124","Nowadays the application status of Software-Intensive Systems(SISs) introduces a category of system failure caused by unforeseen operation or environment change. Generally speaking this kind of failure can be observed as system emergent behavior or degraded running. Because it relates to both the running time and state, it is called Time/State(TS)-based SISs failure. Moreover it is one of the significant sources of SISs failure. However the related researches are few. This paper presents the life cycle of software-related failure of SISs firstly. Secondly it analyzes the TS-based SISs failure mechanism and establishes the corresponding model. Moreover it introduces the traditional verification methods of SISs. Furthermore it presents the definition, classification and ontology representation of TS-based SISs failure mode. The instance validation shows the existence of TS-based SISs failure and feasibility of detecting the failure by using combined test method primarily. Finally this paper analyzes the problems and prospects the future researches.","","","10.1109/SERE-C.2013.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6616333","failure mode;ontology;reliability test;softwareintensive systems;software testing","Software;Software reliability;Hardware;Reliability engineering;Stress;Electric variables measurement","failure analysis;formal verification;ontologies (artificial intelligence);pattern classification;program testing;software fault tolerance","software intensive system;time/state-based SIS failure mode;software failure life cycle;verification method;ontology representation;pattern classification;failure detection","","","32","","","","","IEEE","IEEE Conferences"
"A Semi-supervised Approach to Software Defect Prediction","H. Lu; B. Cukic; M. Culp","Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA; Lane Dept. of Comput. Sci. & Electr. Eng., West Virginia Univ., Morgantown, WV, USA; Dept. of Stat., West Virginia Univ., Morgantown, WV, USA","2014 IEEE 38th Annual Computer Software and Applications Conference","","2014","","","416","425","Accurate detection of software components that need to be exposed to additional verification and validation offers the path to high quality products while minimizing non essential software assurance expenditures. In this type of quality modeling we assume that software modules with known fault content developed in similar environment are available. Supervised learning algorithms are the traditional methods of choice for training on existing modules. The models are then used to predict fault content for newly developed software components prior to product release. However, one needs to realize that establishing whether a module contains a fault or not, only to be used for model training, can be expensive. The basic idea behind semi-supervised learning is to learn from a small number of software modules with known fault content and supplement model training with modules for which the fault information is not available, thus reducing the overall cost of quality assurance. In this study, we investigate the performance of semi-supervised learning for software fault prediction. A preprocessing strategy, multidimensional scaling, is embedded in the approach to reduce the dimensional complexity of software metrics used for prediction. Our results show that the dimension-reduction with semi-supervised learning algorithm preforms significantly better than one of the best performing supervised learning algorithm - random forest - in situations when few modules with known fault content are available. We compare our results with the published benchmarks and clearly demonstrate performance benefits.","","","10.1109/COMPSAC.2014.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899244","software fault prediction;semi-supervised learning;dimension reduction;software metrics","Software;Prediction algorithms;Predictive models;Measurement;Semisupervised learning;Training;Software algorithms","learning (artificial intelligence);program verification;software metrics;software quality","semisupervised approach;software defect prediction;software component detection;verification;validation;quality modeling;software modules;supervised learning algorithm;fault content prediction;quality assurance;preprocessing strategy;multidimensional scaling;dimensional complexity reduction;software metrics;random forest","","4","32","","","","","IEEE","IEEE Conferences"
"Learning Deep and Wide: A Spectral Method for Learning Deep Networks","L. Shao; D. Wu; X. Li","College of Electronic and Information Engineering, Nanjing University of Information Science and Technology, Nanjing, China; Department of Electronic and Electrical Engineering, University of Sheffield, Sheffield, U.K.; Center for Optical Imagery Analysis and Learning, State Key Laboratory of Transient Optics and Photonics, Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi'an, China","IEEE Transactions on Neural Networks and Learning Systems","","2014","25","12","2303","2308","Building intelligent systems that are capable of extracting high-level representations from high-dimensional sensory data lies at the core of solving many computer vision-related tasks. We propose the multispectral neural networks (MSNN) to learn features from multicolumn deep neural networks and embed the penultimate hierarchical discriminative manifolds into a compact representation. The low-dimensional embedding explores the complementary property of different views wherein the distribution of each view is sufficiently smooth and hence achieves robustness, given few labeled training data. Our experiments show that spectrally embedding several deep neural networks can explore the optimum output from the multicolumn networks and consistently decrease the error rate compared with a single deep network.","","","10.1109/TNNLS.2014.2308519","National Basic Research Program of China (973 Program); University of Sheffield; China Scholarship Council; National Natural Science Foundation of China; Shaanxi Key Innovation Team of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6763063","Deep networks;multispectral embedding;representation learning.;Deep networks;multispectral embedding;representation learning","Feature extraction;Laplace equations;Training;Error analysis;Noise;Neural networks;Data models","error statistics;learning (artificial intelligence);neural nets","spectral method;learning deep networks;building intelligent system;high-dimensional sensory data;computer vision-related task;multispectral neural networks;MSNN;multicolumn deep neural network;penultimate hierarchical discriminative manifolds;compact representation;low-dimensional embedding;deep neural networks;multicolumn networks;error rate","Artificial Intelligence;Databases, Factual;Humans;Neural Networks (Computer);Pattern Recognition, Visual","74","32","","","","","IEEE","IEEE Journals"
"Preview on structures and algorithms of deep learning","P. Kuang; W. Cao; Q. Wu","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China; School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, China","2014 11th International Computer Conference on Wavelet Actiev Media Technology and Information Processing(ICCWAMTIP)","","2014","","","176","179","Deep learning proposed by Hinton et al is a new learning algorithm of multi-layer neural network, and it is also a new study field in machine learning. This paper describes the structures and advantages to shallow learning of deep learning, and analyzes current popular learning algorithm in detail. Finally, this paper analyzes research directions and future prospects of deep learning.","","","10.1109/ICCWAMTIP.2014.7073385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7073385","Deep learning;learning algorithm;machine learning","Training;Biological neural networks;Feature extraction;Convolution;Machine learning algorithms;Visualization","learning (artificial intelligence);multilayer perceptrons","deep learning structure;deep learning algorithm;multilayer neural network;machine learning;shallow learning;learning algorithm","","8","14","","","","","IEEE","IEEE Conferences"
"Application of Metamorphic Testing to Supervised Classifiers","X. Xie; J. Ho; C. Murphy; G. Kaiser; B. Xu; T. Y. Chen","Centre for Software Anal. & Testing, Swinburne Univ. of Technol., Hawthorn, VIC, Australia; Sch. of Inf. Technol., Univ. of Sydney, Sydney, NSW, Australia; Dept. of Comput. Sci., Columbia Univ., New York, NY, USA; Dept. of Comput. Sci., Columbia Univ., New York, NY, USA; Dept. of Comput. Sci. & Technol., Nanjing Univ., Nanjing, China; Centre for Software Anal. & Testing, Swinburne Univ. of Technol., Hawthorn, VIC, Australia","2009 Ninth International Conference on Quality Software","","2009","","","135","144","Many applications in the field of scientific computing - such as computational biology, computational linguistics, and others - depend on Machine Learning algorithms to provide important core functionality to support solutions in the particular problem domains. However, it is difficult to test such applications because often there is no ""test oracle"" to indicate what the correct output should be for arbitrary input. To help address the quality of such software, in this paper we present a technique for testing the implementations of supervised machine learning classification algorithms on which such scientific computing software depends. Our technique is based on an approach called ""metamorphic testing"", which has been shown to be effective in such cases. More importantly, we demonstrate that our technique not only serves the purpose of verification, but also can be applied in validation. In addition to presenting our technique, we describe a case study we performed on a real-world machine learning application framework, and discuss how programmers implementing machine learning algorithms can avoid the common pitfalls discovered in our study. We also discuss how our findings can be of use to other areas outside scientific computing, as well.","","","10.1109/QSIC.2009.26","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381489","Metamorphic Testing;Software Testing;Machine Learning;Oracle Problem","Scientific computing;Machine learning algorithms;Software quality;Machine learning;Computational biology;Computational linguistics;Application software;Software testing;Classification algorithms;Software algorithms","learning (artificial intelligence);pattern classification;program testing;program verification;software quality","metamorphic testing;test oracle;supervised machine learning classification algorithm;scientific computing software","","26","20","","","","","IEEE","IEEE Conferences"
"Using machine learning for estimating the defect content after an inspection","F. Padberg; T. Ragg; R. Schoknecht","Karlsruhe Univ., Germany; NA; NA","IEEE Transactions on Software Engineering","","2004","30","1","17","28","We view the problem of estimating the defect content of a document after an inspection as a machine learning problem: The goal is to learn from empirical data the relationship between certain observable features of an inspection (such as the total number of different defects detected) and the number of defects actually contained in the document. We show that some features can carry significant nonlinear information about the defect content. Therefore, we use a nonlinear regression technique, neural networks, to solve the learning problem. To select the best among all neural networks trained on a given data set, one usually reserves part of the data set for later cross-validation; in contrast, we use a technique which leaves the full data set for training. This is an advantage when the data set is small. We validate our approach on a known empirical inspection data set. For that benchmark, our novel approach clearly outperforms both linear regression and the current standard methods in software engineering for estimating the defect content, such as capture-recapture. The validation also shows that our machine learning approach can be successful even when the empirical inspection data set is small.","","","10.1109/TSE.2004.1265733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265733","","Machine learning;Inspection;Neural networks;Software engineering;Curve fitting;Linear regression;Software standards;Software testing;Quality assurance;Estimation error","learning (artificial intelligence);regression analysis;neural nets;program verification;program testing","defect content estimation;machine learning;nonlinear regression technique;neural network;empirical methods;software engineering;software inspection;program validation","","12","25","","","","","IEEE","IEEE Journals"
"VERITAS-an application for knowledge verification","J. Santos; C. Ramos; Z. A. Vale; A. Marques","Dept. of Comput. Eng., Polytech.. Inst. of Porto, Portugal; NA; NA; NA","Proceedings 11th International Conference on Tools with Artificial Intelligence","","1999","","","441","444","Knowledge management is one of the most important goals of any organization. Therefore, several automatic tools are used for that purpose, e.g. Knowledge Based Systems (KBS), Experts Systems, Data Mining Applications and Computer Aided Decision Systems. The validation and verification (V&V) process is fundamental in order to ensure the quality of used knowledge. The usage of automatic verification tools can be a reliable, inexpensive and reusable way to overcome the constant growth of the Knowledge Bases, the shortening of development times and the costs of Validation, specially field tests. This paper addresses the verification of Knowledge Based Systems, focussing on VERITAS, a verification tool initially developed to verify a KBS used to assist operators of Portuguese Transmission Control Centers in incident analysis and power restoration VERITAS performs knowledge base structural analysis allowing the detection of knowledge anomalies.","","","10.1109/TAI.1999.809839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809839","","Knowledge based systems;Application software;Performance analysis;Knowledge management;Expert systems;Data mining;Computer applications;Costs;Automatic testing;Control systems","knowledge based systems;program verification;software tools","VERITAS;knowledge verification;automatic verification tools;Knowledge Based Systems;KBS","","1","11","","","","","IEEE","IEEE Conferences"
