"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep multiple instance learning for image classification and auto-annotation","J. Wu; Yinan Yu; Chang Huang; Kai Yu","Massachusetts Institute of Technology, USA; Institute of Deep Learning, Baidu, USA; Institute of Deep Learning, Baidu, USA; Institute of Deep Learning, Baidu, USA","2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)","","2015","","","3460","3469","The recent development in learning deep representations has demonstrated its wide applications in traditional vision tasks like classification and detection. However, there has been little investigation on how we could build up a deep learning framework in a weakly supervised setting. In this paper, we attempt to model deep learning in a weakly supervised learning (multiple instance learning) framework. In our setting, each image follows a dual multi-instance assumption, where its object proposals and possible text annotations can be regarded as two instance sets. We thus design effective systems to exploit the MIL property with deep learning strategies from the two ends; we also try to jointly learn the relationship between object and annotation proposals. We conduct extensive experiments and prove that our weakly supervised deep learning framework not only achieves convincing performance in vision tasks including classification and image annotation, but also extracts reasonable region-keyword pairs with little supervision, on both widely used benchmarks like PASCAL VOC and MIT Indoor Scene 67, and also a dataset for image-and patch-level annotations.","","","10.1109/CVPR.2015.7298968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7298968","","Machine learning;Proposals;Visualization;Feature extraction;Noise measurement;Neural networks;Supervised learning","image classification;learning (artificial intelligence)","deep multiple instance learning;MIL;image classification;image annotation;supervised deep learning framework","","111","49","","","","","IEEE","IEEE Conferences"
"Deep supervised learning for hyperspectral data classification through convolutional neural networks","K. Makantasis; K. Karantzalos; A. Doulamis; N. Doulamis","Technical University of Crete, University campus, Kounoupidiana, 73100, Chania, Greece; National Technical University of Athens, Zographou campus, 15780, Athens, Greece; National Technical University of Athens, Zographou campus, 15780, Athens, Greece; National Technical University of Athens, Zographou campus, 15780, Athens, Greece","2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","","2015","","","4959","4962","Spectral observations along the spectrum in many narrow spectral bands through hyperspectral imaging provides valuable information towards material and object recognition, which can be consider as a classification task. Most of the existing studies and research efforts are following the conventional pattern recognition paradigm, which is based on the construction of complex handcrafted features. However, it is rarely known which features are important for the problem at hand. In contrast to these approaches, we propose a deep learning based classification method that hierarchically constructs high-level features in an automated way. Our method exploits a Convolutional Neural Network to encode pixels' spectral and spatial information and a Multi-Layer Perceptron to conduct the classification task. Experimental results and quantitative validation on widely used datasets showcasing the potential of the developed approach for accurate hyperspectral data classification.","","","10.1109/IGARSS.2015.7326945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7326945","Machine learning;Earth observation;Imaging spectroscopy;Object Recognition","Hyperspectral imaging;Training;Machine learning;Accuracy;Neural networks;Support vector machines","geophysical techniques;hyperspectral imaging;image classification;neural nets","deep supervised learning;hyperspectral data classification;convolutional neural networks;spectral observation;narrow spectral bands;hyperspectral imaging;conventional pattern recognition paradigm;complex handcrafted construction;deep learning based classification method","","147","11","","","","","IEEE","IEEE Conferences"
"Improving deep convolutional neural networks with unsupervised feature learning","K. Nguyen; C. Fookes; S. Sridharan","Image and Video lab, SAIVT Research Program, Queensland University of Technology, Brisbane, Australia; Image and Video lab, SAIVT Research Program, Queensland University of Technology, Brisbane, Australia; Image and Video lab, SAIVT Research Program, Queensland University of Technology, Brisbane, Australia","2015 IEEE International Conference on Image Processing (ICIP)","","2015","","","2270","2274","The latest generation of Deep Convolutional Neural Networks (DCNN) have dramatically advanced challenging computer vision tasks, especially in object detection and object classification, achieving state-of-the-art performance in several computer vision tasks including text recognition, sign recognition, face recognition and scene understanding. The depth of these supervised networks has enabled learning deeper and hierarchical representation of features. In parallel, unsupervised deep learning such as Convolutional Deep Belief Network (CDBN) has also achieved state-of-the-art in many computer vision tasks. However, there is very limited research on jointly exploiting the strength of these two approaches. In this paper, we investigate the learning capability of both methods. We compare the output of individual layers and show that many learnt filters and outputs of the corresponding level layer are almost similar for both approaches. Stacking the DCNN on top of unsupervised layers or replacing layers in the DCNN with the corresponding learnt layers in the CDBN can improve the recognition/classification accuracy and training computational expense. We demonstrate the validity of the proposal on ImageNet dataset.","","","10.1109/ICIP.2015.7351206","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351206","Deep learning;Convolutional Neural Network;Deep Convolutional Belief Network;Unsupervised deep learning;Supervised deep learning","Training;Machine learning;Computer architecture;Unsupervised learning;Neural networks;Supervised learning;Convolutional codes","computer vision;feature extraction;image classification;image representation;learning (artificial intelligence);neural nets;object detection","ImageNet dataset;hierarchical feature representation;scene understanding;face recognition;sign recognition;text recognition;object classification;object detection;computer vision;DCNN;unsupervised feature learning;deep convolutional neural network","","11","21","","","","","IEEE","IEEE Conferences"
"Scene Recognition by Manifold Regularized Deep Learning Architecture","Y. Yuan; L. Mou; X. Lu","Center for OPTical IMagery Analysis and Learning (OPTIMAL), State Key Laboratory of Transient Optics and Photonics, Xi’an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, Shaanxi, P. R. China; Center for OPTical IMagery Analysis and Learning (OPTIMAL), State Key Laboratory of Transient Optics and Photonics, Xi’an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, Shaanxi, P. R. China; Center for OPTical IMagery Analysis and Learning (OPTIMAL), State Key Laboratory of Transient Optics and Photonics, Xi’an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi’an, Shaanxi, P. R. China","IEEE Transactions on Neural Networks and Learning Systems","","2015","26","10","2222","2233","Scene recognition is an important problem in the field of computer vision, because it helps to narrow the gap between the computer and the human beings on scene understanding. Semantic modeling is a popular technique used to fill the semantic gap in scene recognition. However, most of the semantic modeling approaches learn shallow, one-layer representations for scene recognition, while ignoring the structural information related between images, often resulting in poor performance. Modeled after our own human visual system, as it is intended to inherit humanlike judgment, a manifold regularized deep architecture is proposed for scene recognition. The proposed deep architecture exploits the structural information of the data, making for a mapping between visible layer and hidden layer. By the proposed approach, a deep architecture could be designed to learn the high-level features for scene recognition in an unsupervised fashion. Experiments on standard data sets show that our method outperforms the state-of-the-art used for scene recognition.","","","10.1109/TNNLS.2014.2359471","National Basic Research Program (973 Program) of China; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7018034","Deep architecture;machine learning;manifold kernel;manifold regularization;scene recognition.;Deep architecture;machine learning;manifold kernel;manifold regularization;scene recognition","Kernel;Manifolds;Computer architecture;Semantics;Visualization;Sparse matrices;Feature extraction","computer vision;image recognition;learning (artificial intelligence)","scene recognition;manifold regularized deep learning architecture;computer vision;semantic modeling;semantic modeling approach;structural information;human visual system","Algorithms;Humans;Learning;Neural Networks (Computer);Pattern Recognition, Automated;Pattern Recognition, Visual;Photic Stimulation","104","53","","","","","IEEE","IEEE Journals"
"An Energy-Efficient and Scalable Deep Learning/Inference Processor With Tetra-Parallel MIMD Architecture for Big Data Applications","S. Park; J. Park; K. Bong; D. Shin; J. Lee; S. Choi; H. Yoo","Department of Electrical Engineering, KAIST, Daejeon, Korea (the Republic of); School of Electrical Engineering, KAIST, Daejeon, Korea (the Republic of); School of Electrical Engineering, KAIST, Daejeon, Korea (the Republic of); KAIST, Daejeon, Korea (the Republic of); School of Electrical Engineering, KAIST, Daejeon, Korea (the Republic of); School of Electrical Engineering, KAIST, Daejeon, Korea (the Republic of); KAIST, Daejeon, Korea, Republic of","IEEE Transactions on Biomedical Circuits and Systems","","2015","9","6","838","848","Deep Learning algorithm is widely used for various pattern recognition applications such as text recognition, object recognition and action recognition because of its best-in-class recognition accuracy compared to hand-crafted algorithm and shallow learning based algorithms. Long learning time caused by its complex structure, however, limits its usage only in high-cost servers or many-core GPU platforms so far. On the other hand, the demand on customized pattern recognition within personal devices will grow gradually as more deep learning applications will be developed. This paper presents a SoC implementation to enable deep learning applications to run with low cost platforms such as mobile or portable devices. Different from conventional works which have adopted massively-parallel architecture, this work adopts task-flexible architecture and exploits multiple parallelism to cover complex functions of convolutional deep belief network which is one of popular deep learning/inference algorithms. In this paper, we implement the most energy-efficient deep learning and inference processor for wearable system. The implemented 2.5 mm ×4.0 mm deep learning/inference processor is fabricated using 65 nm 8-metal CMOS technology for a battery-powered platform with real-time deep inference and deep learning operation. It consumes 185 mW average power, and 213.1 mW peak power at 200 MHz operating frequency and 1.2 V supply voltage. It achieves 411.3 GOPS peak performance and 1.93 TOPS/W energy efficiency, which is 2.07× higher than the state-of-the-art.","","","10.1109/TBCAS.2015.2504563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7384530","Convolutional deep belief networks;deep inference;deep learning;fog computing;semi-supervised learning","Machine learning;Big data;Neurons;Convolution;Pattern recognition;Graphics processing units;Parallel architectures","belief networks;Big Data;biomedical engineering;learning (artificial intelligence);program processors;system-on-chip","scalable deep learning-inference processor;tetraparallel MIMD architecture;Big data applications;deep Learning algorithm;pattern recognition applications;text recognition;object recognition;action recognition;best-in-class recognition accuracy;hand-crafted algorithm;shallow learning based algorithms;GPU platforms;SoC implementation;mobile device;portable device;energy-efficient deep learning;wearable system;CMOS technology;battery-powered platform","Algorithms;Equipment and Supplies;Learning;Pattern Recognition, Physiological;Signal Processing, Computer-Assisted;Software","8","27","","","","","IEEE","IEEE Journals"
"The Research of Feedback-Feedforward Iterative Learning Control in Hydrodynamic Deep Drawing Process","S. Shi","NA","2015 14th International Symposium on Distributed Computing and Applications for Business Engineering and Science (DCABES)","","2015","","","423","426","This paper firstly introduces the characteristics of hydrodynamic deep drawing (HDD), which is an important sheet metal forming technology, then points out the necessity of the chamber pressure control. Secondly considering the characteristics of the drawing action is repeated, iterative learning control (ILC) is the proper algorithm. Then introduces the concept of iterative learning control and feedback - feed forward iterative learning control to solve the delay and improve system robustness. Finally, the computer iterative learning control algorithm implementation process is given and the effectiveness of the algorithm is verified by simulation.","","","10.1109/DCABES.2015.112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429646","Feedback;feedforward;Iterative Learning Control;hydrodynamic deep drawing;pressure control","Iterative learning control;Feedforward neural networks;Hydrodynamics;Process control;Trajectory;Robustness;Algorithm design and analysis","deep drawing;feedback;feedforward;hydrodynamics;iterative learning control;pressure control;sheet metal processing","feedback-feedforward iterative learning control;hydrodynamic deep drawing process;HDD;sheet metal forming technology;chamber pressure control;ILC","","","5","","","","","IEEE","IEEE Conferences"
"Chest pathology detection using deep learning with non-medical training","Y. Bar; I. Diamant; L. Wolf; S. Lieberman; E. Konen; H. Greenspan","The Blavatnik School of Computer Science, Tel-Aviv University, Tel Aviv 69978, Israel; Department of Biomedical Engineering, Tel-Aviv University, Tel Aviv 69978, Israel; The Blavatnik School of Computer Science, Tel-Aviv University, Tel Aviv 69978, Israel; Diagnostic Imaging Department, Sheba Medical Center, Tel Hashomer, Israel; Diagnostic Imaging Department, Sheba Medical Center, Tel Hashomer, Israel; Department of Biomedical Engineering, Tel-Aviv University, Tel Aviv 69978, Israel","2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI)","","2015","","","294","297","In this work, we examine the strength of deep learning approaches for pathology detection in chest radiographs. Convolutional neural networks (CNN) deep architecture classification approaches have gained popularity due to their ability to learn mid and high level image representations. We explore the ability of CNN learned from a non-medical dataset to identify different types of pathologies in chest x-rays. We tested our algorithm on a 433 image dataset. The best performance was achieved using CNN and GIST features. We obtained an area under curve (AUC) of 0.87-0.94 for the different pathologies. The results demonstrate the feasibility of detecting pathology in chest x-rays using deep learning approaches based on non-medical learning. This is a first-of-its-kind experiment that shows that Deep learning with ImageNet, a large scale non-medical image database may be a good substitute to domain specific representations, which are yet to be available, for general medical image recognition tasks.","","","10.1109/ISBI.2015.7163871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7163871","Chest Radiography;Computer-Aided Diagnosis Disease Categorization;Deep Learning;Deep Networks;CNN","Pathology;Machine learning;Visualization;X-rays;Biomedical imaging;Diagnostic radiography;Feature extraction","convolution;diagnostic radiography;diseases;feature extraction;image classification;image representation;learning (artificial intelligence);medical image processing;neural nets","chest pathology detection;deep learning;nonmedical training;chest radiograph;convolutional neural network;CNN deep architecture classification;mid level image representation learning;high level image representation learning;CNN learning;pathology identification;pathology type;chest X-ray image dataset;CNN algorithm;GIST feature;area under curve;AUC;nonmedical learning;ImageNet;large scale nonmedical image database;domain specific representation;general medical image recognition task","","86","15","","","","","IEEE","IEEE Conferences"
"Deep Belief Networks and deep learning","Yuming Hua; Junhai Guo; Hua Zhao","Beijing Institute of Tracking and Telecommunications Technology, China; Beijing Institute of Tracking and Telecommunications Technology, China; Beijing Institute of Tracking and Telecommunications Technology, China","Proceedings of 2015 International Conference on Intelligent Computing and Internet of Things","","2015","","","1","4","Deep Belief Network is an algorithm among deep learning. It is an effective method of solving the problems from neural network with deep layers, such as low velocity and the overfitting phenomenon in learning. In this paper, we will introduce how to process a Deep Belief Network by using Restricted Boltzmann Machines. What is more, we will combine the Deep Belief Network together with softmax classifier, and use it in the recognition of handwritten numbers.","","","10.1109/ICAIOT.2015.7111524","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7111524","Deep learning;Deep Belief Network;classify Introduction","Neural networks;Training;Feature extraction;Unsupervised learning;Classification algorithms;Fitting;Mathematical model","belief networks;Boltzmann machines;learning (artificial intelligence)","deep belief networks;deep learning;neural network;deep layers;restricted Boltzmann machines;softmax classifier;handwritten number recognition","","2","15","","","","","IEEE","IEEE Conferences"
"Deep learning for pattern learning and recognition","C. L. P. Chen","Faculty of Science and Technology, The University of Macau, Macau SAR, China","2015 IEEE 10th Jubilee International Symposium on Applied Computational Intelligence and Informatics","","2015","","","17","17","Summary form only given. Deep learning is a set of algorithms in machine learning that attempt to learn in multiple levels, corresponding to different levels of abstraction. It is typically used to abstract useful information from data. The levels in these learned statistical models correspond to distinct levels of concepts, where higher-level concepts are defined from lower-level ones, and the same lower level concepts can help to define many higher-level concepts. Alternatively, the main advantage of deep learning is about learning multiple levels of representation and abstraction that help to make sense of data such as images, sound, and text. This talk is to overview the foundationa, data representation capability of deep networks, and to investigate efficient deep learning algorithms, and meaningful applications.","","","10.1109/SACI.2015.7208200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7208200","","Machine learning;Computational intelligence;Informatics;Pattern recognition;Machine learning algorithms;Algorithm design and analysis","data structures;learning (artificial intelligence);statistical analysis","pattern learning;pattern recognition;machine learning;statistical models;higher-level concepts;data representation capability;deep networks;deep learning algorithms","","1","","","","","","IEEE","IEEE Conferences"
"Deep learning based primary user classification in Cognitive Radios","Y. Cui; X. j. Jing; S. Sun; X. Wang; D. Cheng; H. Huang","Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, Beijing University of Posts and Telecommunications, China; Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, Beijing University of Posts and Telecommunications, China; Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, Beijing University of Posts and Telecommunications, China; Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, School of Software and Microelectronics, Beijing China; Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, 305 Hospital of PLA, Beijing China; Key Laboratory of Trustworthy Distributed Computing and service (BUPT), Ministry of Education, Beijing University of Posts and Telecommunications, China","2015 15th International Symposium on Communications and Information Technologies (ISCIT)","","2015","","","165","168","Deep Belief Networks (DBN) is a very powerful algorithm in deep learning. The DBN has been effectively applied in many areas of machine learning, such as computer vision (CV) and natural language processing (NLP). With the help of deep architecture, their accuracy has been largely improved and their human annotation data which traditional machine learning algorithm extremely rely on could be reduced. In Cognitive Radios (CRs), learning is necessary for its cognition, while two of the key challenges are how to classify primary user agents with their performances and predict their behaviors. The CRs' performance has a positive correlation with the hit rate of learning algorithm's classification and prediction results. In this paper, we study the questions of classification and prediction of user agents. We apply the DBN model to improve accuracy rating of user agent's recognition in CRs with user-centered model, it's the first application of deep learning structure in CRs. The DBN model provides a primary user agent's classification, which is the foundation of the prediction to both idle frequency spectrums and time slots. Experimental results show that the cognitive engine finds a much better detection rate than the CRs engine with shallow learning and other traditional strategy. The simulation results are also tested on the WIFI channel with 5GHz and 2.4GHz.","","","10.1109/ISCIT.2015.7458333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7458333","deep learning;cognitive radio;deep belief networks;spectrum sensing","Training;Machine learning algorithms;Classification algorithms;Prediction algorithms;Machine learning;Sensors;Artificial neural networks","cognitive radio;learning (artificial intelligence)","deep belief learning based primary user classification;cognitive radios;machine learning;computer vision;natural language processing;DBN model;user-centered model;idle frequency spectrums;time slots;WIFI channel","","3","12","","","","","IEEE","IEEE Conferences"
