"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Deep Neural Network-Driven Feature Learning Method for Multi-view Facial Expression Recognition","T. Zhang; W. Zheng; Z. Cui; Y. Zong; J. Yan; K. Yan","Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China; Key Laboratory of Child Development and Learning Science (Southeast University), Ministry of Education, Research Center for Learning Science, Southeast University, Nanjing, China","IEEE Transactions on Multimedia","","2016","18","12","2528","2536","In this paper, a novel deep neural network (DNN)-driven feature learning method is proposed and applied to multi-view facial expression recognition (FER). In this method, scale invariant feature transform (SIFT) features corresponding to a set of landmark points are first extracted from each facial image. Then, a feature matrix consisting of the extracted SIFT feature vectors is used as input data and sent to a well-designed DNN model for learning optimal discriminative features for expression classification. The proposed DNN model employs several layers to characterize the corresponding relationship between the SIFT feature vectors and their corresponding high-level semantic information. By training the DNN model, we are able to learn a set of optimal features that are well suitable for classifying the facial expressions across different facial views. To evaluate the effectiveness of the proposed method, two nonfrontal facial expression databases, namely BU-3DFE and Multi-PIE, are respectively used to testify our method and the experimental results show that our algorithm outperforms the state-of-the-art methods.","","","10.1109/TMM.2016.2598092","National Basic Research Program of China; National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530823","Deep neural network (DNN);multi-view facial expression recognition;scale invariant feature transform (SIFT)","Feature extraction;Face recognition;Facial features;Neural networks;Learning systems;Convolution;Semantics","emotion recognition;face recognition;feature extraction;image classification;learning (artificial intelligence);neural nets","deep neural network-driven feature learning method;multiview facial expression recognition;DNN-driven feature learning method;FER;scale invariant feature transform;SIFT feature extraction;feature matrix;discriminative feature learning;expression classification;high-level semantic information;BU-3DFE database;Multi-PIE database","","71","34","","","","","IEEE","IEEE Journals"
"Marginal Space Deep Learning: Efficient Architecture for Volumetric Image Parsing","F. C. Ghesu; E. Krubasik; B. Georgescu; V. Singh; Y. Zheng; J. Hornegger; D. Comaniciu","Medical Imaging Technologies, Siemens Healthcare, Princeton, NJ, USA; Robotics and Embedded Systems Department, Technische Universität München, München, Germany; Medical Imaging Technologies, Siemens Healthcare, Princeton, NJ, USA; Medical Imaging Technologies, Siemens Healthcare, Princeton, NJ, USA; Medical Imaging Technologies, Siemens Healthcare, Princeton, NJ, USA; Friedrich-Alexander-Universität Erlangen-Nürnberg, Pattern Recognition Lab, Erlangen, Germany; Medical Imaging Technologies, Siemens Healthcare, Princeton, NJ, USA","IEEE Transactions on Medical Imaging","","2016","35","5","1217","1228","Robust and fast solutions for anatomical object detection and segmentation support the entire clinical workflow from diagnosis, patient stratification, therapy planning, intervention and follow-up. Current state-of-the-art techniques for parsing volumetric medical image data are typically based on machine learning methods that exploit large annotated image databases. Two main challenges need to be addressed, these are the efficiency in scanning high-dimensional parametric spaces and the need for representative image features which require significant efforts of manual engineering. We propose a pipeline for object detection and segmentation in the context of volumetric image parsing, solving a two-step learning problem: anatomical pose estimation and boundary delineation. For this task we introduce Marginal Space Deep Learning (MSDL), a novel framework exploiting both the strengths of efficient object parametrization in hierarchical marginal spaces and the automated feature design of Deep Learning (DL) network architectures. In the 3D context, the application of deep learning systems is limited by the very high complexity of the parametrization. More specifically 9 parameters are necessary to describe a restricted affine transformation in 3D, resulting in a prohibitive amount of billions of scanning hypotheses. The mechanism of marginal space learning provides excellent run-time performance by learning classifiers in clustered, high-probability regions in spaces of gradually increasing dimensionality. To further increase computational efficiency and robustness, in our system we learn sparse adaptive data sampling patterns that automatically capture the structure of the input. Given the object localization, we propose a DL-based active shape model to estimate the non-rigid object boundary. Experimental results are presented on the aortic valve in ultrasound using an extensive dataset of 2891 volumes from 869 patients, showing significant improvements of up to 45.2% over the state-of-the-art. To our knowledge, this is the first successful demonstration of the DL potential to detection and segmentation in full 3D data with parametrized representations.","","","10.1109/TMI.2016.2538802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426845","Deep learning;image parsing;marginal space learning;sparse representations;three-dimensional (3D) object detection and segmentation","Three-dimensional displays;Machine learning;Shape;Image segmentation;Context;Robustness;Feature extraction","biomedical ultrasonics;feature extraction;image classification;image sampling;image segmentation;learning (artificial intelligence);medical image processing;pattern clustering;probability;ultrasonic imaging","marginal space deep learning;anatomical object detection;segmentation support;clinical workflow;diagnosis;patient stratification;therapy planning;volumetric medical image data parsing;machine learning methods;annotated image databases;scanning high-dimensional parametric spaces;representative image features;two-step learning problem;anatomical pose estimation;boundary delineation;object parametrization;hierarchical marginal spaces;automated feature design;deep learning network architectures;3D context;deep learning systems;restricted affine transformation;scanning hypotheses;run-time performance;learning classifiers;clustered high-probability regions;computational efficiency;sparse adaptive data sampling patterns;object localization;DL-based active shape model;nonrigid object boundary;aortic valve;ultrasound;extensive dataset;full 3D data segmentation;full 3D data detection;parametrized representations","Algorithms;Aortic Valve;Databases, Factual;Echocardiography, Transesophageal;Humans;Image Processing, Computer-Assisted;Machine Learning;Neural Networks (Computer);Pattern Recognition, Automated","52","46","","","","","IEEE","IEEE Journals"
"Deep Ranking for Person Re-Identification via Joint Representation Learning","S. Chen; C. Guo; J. Lai","School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; Guangdong Province Key Laboratory of Information Security, Guangzhou, China","IEEE Transactions on Image Processing","","2016","25","5","2353","2367","This paper proposes a novel approach to person re-identification, a fundamental task in distributed multi-camera surveillance systems. Although a variety of powerful algorithms have been presented in the past few years, most of them usually focus on designing hand-crafted features and learning metrics either individually or sequentially. Different from previous works, we formulate a unified deep ranking framework that jointly tackles both of these key components to maximize their strengths. We start from the principle that the correct match of the probe image should be positioned in the top rank within the whole gallery set. An effective learning-to-rank algorithm is proposed to minimize the cost corresponding to the ranking disorders of the gallery. The ranking model is solved with a deep convolutional neural network (CNN) that builds the relation between input image pairs and their similarity scores through joint representation learning directly from raw image pixels. The proposed framework allows us to get rid of feature engineering and does not rely on any assumption. An extensive comparative evaluation is given, demonstrating that our approach significantly outperforms all the state-of-the-art approaches, including both traditional and CNN-based methods on the challenging VIPeR, CUHK-01, and CAVIAR4REID datasets. In addition, our approach has better ability to generalize across datasets without fine-tuning.","","","10.1109/TIP.2016.2545929","National Natural Science Foundation of China; Guangdong Program; Guangzhou Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439828","Person re-identification;deep convolutional neural network;learning to rank;Person re-identification;deep convolutional neural network;learning to rank","Measurement;Feature extraction;Image color analysis;Machine learning;Cameras;Algorithm design and analysis;Probes","image representation;learning (artificial intelligence);neural nets","person re-identification;distributed multicamera surveillance systems;joint representation learning;unified deep ranking framework;learning-to-rank algorithm;deep convolutional neural network;CNN;raw image pixels;feature engineering","Algorithms;Biometric Identification;Databases, Factual;Humans;Machine Learning;Neural Networks (Computer)","94","53","","","","","IEEE","IEEE Journals"
"Deep Transfer Metric Learning","J. Hu; J. Lu; Y. Tan; J. Zhou","School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Department of Automation, Tsinghua University, Beijing, China; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; Department of Automation, Tsinghua University, Beijing, China","IEEE Transactions on Image Processing","","2016","25","12","5576","5588","Conventional metric learning methods usually assume that the training and test samples are captured in similar scenarios so that their distributions are assumed to be the same. This assumption does not hold in many real visual recognition applications, especially when samples are captured across different data sets. In this paper, we propose a new deep transfer metric learning (DTML) method to learn a set of hierarchical nonlinear transformations for cross-domain visual recognition by transferring discriminative knowledge from the labeled source domain to the unlabeled target domain. Specifically, our DTML learns a deep metric network by maximizing the inter-class variations and minimizing the intra-class variations, and minimizing the distribution divergence between the source domain and the target domain at the top layer of the network. To better exploit the discriminative information from the source domain, we further develop a deeply supervised transfer metric learning (DSTML) method by including an additional objective on DTML, where the output of both the hidden layers and the top layer are optimized jointly. To preserve the local manifold of input data points in the metric space, we present two new methods, DTML with autoencoder regularization and DSTML with autoencoder regularization. Experimental results on face verification, person re-identification, and handwritten digit recognition validate the effectiveness of the proposed methods.","","","10.1109/TIP.2016.2612827","National Key Research and Development Program of China; National Natural Science Foundation of China; National 1000 Young Talents Plan Program; National Basic Research Program of China; Ministry of Education of China; Tsinghua University Initiative Scientific Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7574389","Deep metric learning;deep transfer metric learning;transfer learning;face verification;person reidentification","Measurement;Training;Learning systems;Visualization;Machine learning;Neural networks;Manifolds","biometrics (access control);face recognition;handwritten character recognition;learning (artificial intelligence)","deep transfer metric learning method;hierarchical nonlinear transformations;cross-domain visual recognition;discriminative knowledge transfer;labeled source domain;unlabeled target domain;deep metric network;interclass variation maximization;intraclass variation minimization;distribution divergence minimization;deeply supervised transfer metric learning method;DTML-with-autoencoder regularization method;DSTML-with-autoencoder regularization method;face verification;person reidentification;handwritten digit recognition","","26","57","","","","","IEEE","IEEE Journals"
"Extreme Learning Machine for Multilayer Perceptron","J. Tang; C. Deng; G. Huang","School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Neural Networks and Learning Systems","","2016","27","4","809","821","Extreme learning machine (ELM) is an emerging learning algorithm for the generalized single hidden layer feedforward neural networks, of which the hidden node parameters are randomly generated and the output weights are analytically computed. However, due to its shallow architecture, feature learning using ELM may not be effective for natural signals (e.g., images/videos), even with a large number of hidden nodes. To address this issue, in this paper, a new ELM-based hierarchical learning framework is proposed for multilayer perceptron. The proposed architecture is divided into two main components: 1) self-taught feature extraction followed by supervised feature classification and 2) they are bridged by random initialized hidden weights. The novelties of this paper are as follows: 1) unsupervised multilayer encoding is conducted for feature extraction, and an ELM-based sparse autoencoder is developed via ℓ1 constraint. By doing so, it achieves more compact and meaningful feature representations than the original ELM; 2) by exploiting the advantages of ELM random feature mapping, the hierarchically encoded outputs are randomly projected before final decision making, which leads to a better generalization with faster learning speed; and 3) unlike the greedy layerwise training of deep learning (DL), the hidden layers of the proposed framework are trained in a forward manner. Once the previous layer is established, the weights of the current layer are fixed without fine-tuning. Therefore, it has much better learning efficiency than the DL. Extensive experiments on various widely used classification data sets show that the proposed algorithm achieves better and faster convergence than the existing state-of-the-art hierarchical learning methods. Furthermore, multiple applications in computer vision further confirm the generality and capability of the proposed learning scheme.","","","10.1109/TNNLS.2015.2424995","Excellent Young Scholars Research Fund of Beijing Institute of Technology; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7103337","Deep learning (DL);deep neural network (DNN);extreme learning machine (ELM);multilayer perceptron (MLP);random feature mapping.;Deep learning (DL);deep neural network (DNN);extreme learning machine (ELM);multilayer perceptron (MLP);random feature mapping","Feature extraction;Training;Nonhomogeneous media;Optimization;Least squares approximations;Artificial neural networks","feedforward neural nets;learning (artificial intelligence);multilayer perceptrons;pattern classification","extreme learning machine;multilayer perceptron;learning algorithm;generalized single hidden layer feedforward neural networks;feature learning;ELM-based hierarchical learning framework;self-taught feature extraction;supervised feature classification;random initialized hidden weights;unsupervised multilayer encoding;ELM-based sparse autoencoder;feature representations;ELM random feature mapping;hierarchically encoded outputs;decision making;learning speed;greedy layerwise training;deep learning;DL;hierarchical learning methods;computer vision","","436","33","","","","","IEEE","IEEE Journals"
"Deep Computation Model for Unsupervised Feature Learning on Big Data","Q. Zhang; L. T. Yang; Z. Chen","School of Software Technology, Dalian University of Technology, Dalian, China; Department of Mathematics, Statistics and Computer Science, St. Francis Xavier University, Antigonish, NS, Canada; School of Software Technology, Dalian University of Technology, Dalian, China","IEEE Transactions on Services Computing","","2016","9","1","161","171","Deep learning has been successfully applied to feature learning in speech recognition, image classification and language processing. However, current deep learning models work in the vector space, resulting in the failure to learn features for big data since a vector cannot model the highly non-linear distribution of big data, especially heterogeneous data. This paper proposes a deep computation model for feature learning on big data, which uses a tensor to model the complex correlations of heterogeneous data. To fully learn the underlying data distribution, the proposed model uses the tensor distance as the average sum-of-squares error term of the reconstruction error in the output layer. To train the parameters of the proposed model, the paper designs a high-order back-propagation algorithm (HBP) by extending the conventional back-propagation algorithm from the vector space to the high-order tensor space. To evaluate the performance of the proposed model, we carried out the experiments on four representative datasets by comparison with stacking auto-encoders and multimodal deep learning models. Experimental results clearly demonstrate that the proposed model is efficient to perform feature learning when evaluated using the STL-10, CUAVE, SANE and INEX datasets.","","","10.1109/TSC.2015.2497705","National Sciences and Engineering Research Council; Canada Foundation for Innovation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7317793","Big Data;Deep learning model;Tensor auto-encoder;Back-propagation algorithm;Feature learning;Big data;deep learning model;tensor auto-encoder;back-propagation algorithm;feature  learning","Tensile stress;Data models;Big data;Machine learning;Computational modeling;Correlation;Stacking","backpropagation;Big Data;distributed databases;tensors;unsupervised learning","speech recognition;image classification;language processing;deep learning models;Big Data;deep computation model;complex correlations;heterogeneous data;data distribution;tensor distance;average sum-of-squares error term;reconstruction error;high-order backpropagation algorithm;HBP;vector space;high-order tensor space;STL-10 datasets;INEX datasets;SANE datasets;CUAVE datasets;unsupervised feature learning","","29","33","","","","","IEEE","IEEE Journals"
"Why Deep Learning Works: A Manifold Disentanglement Perspective","P. P. Brahma; D. Wu; Y. She","Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA; Department of Statistics, Florida State University, Tallahassee, FL, USA","IEEE Transactions on Neural Networks and Learning Systems","","2016","27","10","1997","2008","Deep hierarchical representations of the data have been found out to provide better informative features for several machine learning applications. In addition, multilayer neural networks surprisingly tend to achieve better performance when they are subject to an unsupervised pretraining. The booming of deep learning motivates researchers to identify the factors that contribute to its success. One possible reason identified is the flattening of manifold-shaped data in higher layers of neural networks. However, it is not clear how to measure the flattening of such manifold-shaped data and what amount of flattening a deep neural network can achieve. For the first time, this paper provides quantitative evidence to validate the flattening hypothesis. To achieve this, we propose a few quantities for measuring manifold entanglement under certain assumptions and conduct experiments with both synthetic and real-world data. Our experimental results validate the proposition and lead to new insights on deep learning.","","","10.1109/TNNLS.2015.2496947","National Science Foundation; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7348689","Deep learning;disentanglement;manifold learning;unsupervised feature transformation","Manifolds;Neural networks;Machine learning;Nonhomogeneous media;Data models;Kernel;Principal component analysis","learning (artificial intelligence);neural nets","deep learning works;disentanglement perspective;deep hierarchical representations;machine learning applications;multilayer neural networks;unsupervised pretraining;manifold shaped data flattening","","46","29","","","","","IEEE","IEEE Journals"
"Traffic signal timing via deep reinforcement learning","L. Li; Y. Lv; F. Wang","Department of Automation, Tsinghua University, Beijing 100084, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing 100190, China","IEEE/CAA Journal of Automatica Sinica","","2016","3","3","247","254","In this paper, we propose a set of algorithms to design signal timing plans via deep reinforcement learning. The core idea of this approach is to set up a deep neural network (DNN) to learn the Q-function of reinforcement learning from the sampled traffic state/control inputs and the corresponding traffic system performance output. Based on the obtained DNN, we can find the appropriate signal timing policies by implicitly modeling the control actions and the change of system states. We explain the possible benefits and implementation tricks of this new approach. The relationships between this new approach and some existing approaches are also carefully discussed.","","","10.1109/JAS.2016.7508798","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7508798","Traffic control;reinforcement learning;deep learning;deep reinforcement learning","Learning (artificial intelligence);Timing;Neural networks;Mathematical model;Optimization;Analytical models;Machine learning","learning (artificial intelligence);neural nets;road traffic control;traffic engineering computing","traffic signal timing;deep reinforcement learning;deep neural network;DNN;Q-function;traffic system performance output;signal timing policies","","34","","","","","","IEEE","IEEE Journals"
"AggNet: Deep Learning From Crowds for Mitosis Detection in Breast Cancer Histology Images","S. Albarqouni; C. Baur; F. Achilles; V. Belagiannis; S. Demirci; N. Navab","Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM), Munich, Germany; Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM), Munich, Germany; Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM), Munich, Germany; Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM); Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM), Munich, Germany; Chair for Computer Aided Medical Procedure (CAMP), Technische Universit&#x00E4;t M&#x00FC;nchen (TUM), Munich, Germany","IEEE Transactions on Medical Imaging","","2016","35","5","1313","1321","The lack of publicly available ground-truth data has been identified as the major challenge for transferring recent developments in deep learning to the biomedical imaging domain. Though crowdsourcing has enabled annotation of large scale databases for real world images, its application for biomedical purposes requires a deeper understanding and hence, more precise definition of the actual annotation task. The fact that expert tasks are being outsourced to non-expert users may lead to noisy annotations introducing disagreement between users. Despite being a valuable resource for learning annotation models from crowdsourcing, conventional machine-learning methods may have difficulties dealing with noisy annotations during training. In this manuscript, we present a new concept for learning from crowds that handle data aggregation directly as part of the learning process of the convolutional neural network (CNN) via additional crowdsourcing layer (AggNet). Besides, we present an experimental study on learning from crowds designed to answer the following questions. 1) Can deep CNN be trained with data collected from crowdsourcing? 2) How to adapt the CNN to train on multiple types of annotation datasets (ground truth and crowd-based)? 3) How does the choice of annotation and aggregation affect the accuracy? Our experimental setup involved Annot8, a self-implemented web-platform based on Crowdflower API realizing image annotation tasks for a publicly available biomedical image database. Our results give valuable insights into the functionality of deep CNN learning from crowd annotations and prove the necessity of data aggregation integration.","","","10.1109/TMI.2016.2528120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7405343","Aggregation;crowdsourcing;deep learning;gamification;online learning","Biomedical imaging;Crowdsourcing;Noise measurement;Machine learning;Computational modeling;Robustness;Data models","biological organs;cancer;data aggregation;image classification;image denoising;learning (artificial intelligence);medical image processing","crowd sourcing layer;crowd annotation datasets;biomedical image database;image annotation tasks;crowd flower API;self-implemented web-platform;deep CNN learning;convolutional neural network;learning process;data aggregation;noisy annotations;conventional machine-learning methods;learning annotation models;ground-truth data;breast cancer histology imaging;mitosis detection","Breast Neoplasms;Crowdsourcing;Female;Histocytochemistry;Humans;Image Interpretation, Computer-Assisted;Internet;Machine Learning;Mitosis;Neural Networks (Computer);Video Games","153","38","","","","","IEEE","IEEE Journals"
"Deep Learning of Transferable Representation for Scalable Domain Adaptation","M. Long; J. Wang; Y. Cao; J. Sun; P. S. Yu","School of Software, Tsinghua National Laboratory for Information Science and Techonolgy (TNList), Tsinghua University, Beijing, China; School of Software, Tsinghua National Laboratory for Information Science and Techonolgy (TNList), Tsinghua University, Beijing, China; School of Software, Tsinghua National Laboratory for Information Science and Techonolgy (TNList), Tsinghua University, Beijing, China; School of Software, Tsinghua National Laboratory for Information Science and Techonolgy (TNList), Tsinghua University, Beijing, China; Institute for Data Science, Tsinghua University, Haidian, Beijing, China","IEEE Transactions on Knowledge and Data Engineering","","2016","28","8","2027","2040","Domain adaptation generalizes a learning model across source domain and target domain that are sampled from different distributions. It is widely applied to cross-domain data mining for reusing labeled information and mitigating labeling consumption. Recent studies reveal that deep neural networks can learn abstract feature representation, which can reduce, but not remove, the cross-domain discrepancy. To enhance the invariance of deep representation and make it more transferable across domains, we propose a unified deep adaptation framework for jointly learning transferable representation and classifier to enable scalable domain adaptation, by taking the advantages of both deep learning and optimal two-sample matching. The framework constitutes two inter-dependent paradigms, unsupervised pre-training for effective training of deep models using deep denoising autoencoders, and supervised fine-tuning for effective exploitation of discriminative information using deep neural networks, both learned by embedding the deep representations to reproducing kernel Hilbert spaces (RKHSs) and optimally matching different domain distributions. To enable scalable learning, we develop a linear-time algorithm using unbiased estimate that scales linearly to large samples. Extensive empirical results show that the proposed framework significantly outperforms state of the art methods on diverse adaptation tasks: sentiment polarity prediction, email spam filtering, newsgroup content categorization, and visual object recognition.","","","10.1109/TKDE.2016.2554549","National Natural Science Foundation of China; China Postdoctoral Science Foundation; National Science and Technology Supporting Program; NSF; Tsinghua National Laboratory (TNList) Special Fund for Big Data Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7452659","Domain adaptation;deep learning;denoising autoencoder;neural network;two-sample test;multiple kernel learning","Kernel;Machine learning;Adaptation models;Neural networks;Noise reduction;Labeling;Object recognition","data mining;learning (artificial intelligence);neural nets","deep learning;transferable representation learning;scalable domain adaptation;cross-domain data mining;labeled information reuse;labeling consumption mitigation;deep neural networks;abstract feature representation learning;cross-domain discrepancy;optimal two-sample matching;deep denoising autoencoders;reproducing kernel Hilbert spaces;RKHS;scalable learning;linear-time algorithm;sentiment polarity prediction task;email spam filtering task;newsgroup content categorization task;visual object recognition task","","36","49","","","","","IEEE","IEEE Journals"
