"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Learning Deep Landmarks for Imbalanced Classification","F. Bao; Y. Deng; Y. Kong; Z. Ren; J. Suo; Q. Dai","Department of Automation, Tsinghua University, Beijing 100084, China.; School of Astronautics, Beihang University, Beijing 100191, China (e-mail: yuedeng.thu@gmail.com).; College of Computer Science, Southeast University, Nanjing 210096, China.; Department of Automation, Tsinghua University, Beijing 100084, China.; Department of Automation, Tsinghua University, Beijing 100084, China.; Department of Automation, Tsinghua University, Beijing 100084, China.","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","14","We introduce a deep imbalanced learning framework called learning DEep Landmarks in laTent spAce (DELTA). Our work is inspired by the shallow imbalanced learning approaches to rebalance imbalanced samples before feeding them to train a discriminative classifier. Our DELTA advances existing works by introducing the new concept of rebalancing samples in a deeply transformed latent space, where latent points exhibit several desired properties including compactness and separability. In general, DELTA simultaneously conducts feature learning, sample rebalancing, and discriminative learning in a joint, end-to-end framework. The framework is readily integrated with other sophisticated learning concepts including latent points oversampling and ensemble learning. More importantly, DELTA offers the possibility to conduct imbalanced learning with the assistancy of structured feature extractor. We verify the effectiveness of DELTA not only on several benchmark data sets but also on more challenging real-world tasks including click-through-rate (CTR) prediction, multi-class cell type classification, and sentiment analysis with sequential inputs.","","","10.1109/TNNLS.2019.2927647","Project of Beijing Municipal Science and Technology Commission; Project of NSFC; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8788460","Classification;deep learning;imbalanced learning.","Deep learning;Neural networks;Data models;Feature extraction;Hidden Markov models;Task analysis;Learning systems","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Robust and Communication-Efficient Federated Learning From Non-i.i.d. Data","F. Sattler; S. Wiedemann; K. Müller; W. Samek","Fraunhofer Heinrich Hertz Institute, 10587 Berlin, Germany.; Fraunhofer Heinrich Hertz Institute, 10587 Berlin, Germany.; Technische Universität Berlin, 10587 Berlin, Germany, with the Max Planck Institute for Informatics, 66123~Saarbrücken, Germany, and also with the Department of Brain and Cognitive Engineering, Korea University, Seoul 136-713, South Korea (e-mail: klaus-robert.mueller@tu-berlin.de).; Fraunhofer Heinrich Hertz Institute, 10587 Berlin, Germany (e-mail: wojciech.samek@hhi.fraunhofer.de).","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","14","Federated learning allows multiple parties to jointly train a deep learning model on their combined data, without any of the participants having to reveal their local data to a centralized server. This form of privacy-preserving collaborative learning, however, comes at the cost of a significant communication overhead during training. To address this problem, several compression methods have been proposed in the distributed training literature that can reduce the amount of required communication by up to three orders of magnitude. These existing methods, however, are only of limited utility in the federated learning setting, as they either only compress the upstream communication from the clients to the server (leaving the downstream communication uncompressed) or only perform well under idealized conditions, such as i.i.d. distribution of the client data, which typically cannot be found in federated learning. In this article, we propose sparse ternary compression (STC), a new compression framework that is specifically designed to meet the requirements of the federated learning environment. STC extends the existing compression technique of top-k gradient sparsification with a novel mechanism to enable downstream compression as well as ternarization and optimal Golomb encoding of the weight updates. Our experiments on four different learning tasks demonstrate that STC distinctively outperforms federated averaging in common federated learning scenarios. These results advocate for a paradigm shift in federated optimization toward high-frequency low-bitwidth communication, in particular in the bandwidth-constrained learning environments.","","","10.1109/TNNLS.2019.2944481","Fraunhofer Society; German Ministry for Education and Research as Berlin Big Data Center; Berlin Center for Machine Learning; DFG; Information and Communications Technology Planning and Evaluation IITP Grant funded by the Korea Government; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8889996","Deep learning;distributed learning;efficient communication;federated learning;privacy-preserving machine learning.","Training;Data models;Servers;Deep learning;Protocols;Training data;Distributed databases","","","","","","CCBY","","","","IEEE","IEEE Early Access Articles"
"Deep Reinforcement Learning for Sequence-to-Sequence Models","Y. Keneshloo; T. Shi; N. Ramakrishnan; C. K. Reddy","Discovery Analytics Center, Department of Computer Science, Virginia Tech, Arlington, VA 22203 USA (e-mail: yaserkl@vt.edu).; Discovery Analytics Center, Department of Computer Science, Virginia Tech, Arlington, VA 22203 USA.; Discovery Analytics Center, Department of Computer Science, Virginia Tech, Arlington, VA 22203 USA.; Discovery Analytics Center, Department of Computer Science, Virginia Tech, Arlington, VA 22203 USA.","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","21","In recent times, sequence-to-sequence (seq2seq) models have gained a lot of popularity and provide state-of-the-art performance in a wide variety of tasks, such as machine translation, headline generation, text summarization, speech-to-text conversion, and image caption generation. The underlying framework for all these models is usually a deep neural network comprising an encoder and a decoder. Although simple encoder--decoder models produce competitive results, many researchers have proposed additional improvements over these seq2seq models, e.g., using an attention-based model over the input, pointer-generation models, and self-attention models. However, such seq2seq models suffer from two common problems: 1) exposure bias and 2) inconsistency between train/test measurement. Recently, a~completely novel point of view has emerged in addressing these two problems in seq2seq models, leveraging methods from reinforcement learning (RL). In this survey, we~consider seq2seq problems from the RL point of view and provide a formulation combining the power of RL methods in decision-making with seq2seq models that enable remembering long-term memories. We present some of the most recent frameworks that combine the concepts from RL and deep neural networks. Our work aims to provide insights into some of the problems that inherently arise with current approaches and how we can address them with better RL models. We also provide the source code for implementing most of the RL models discussed in this paper to support the complex task of abstractive text summarization and provide some targeted experiments for these RL models, both in terms of performance and training~time.","","","10.1109/TNNLS.2019.2929141","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8801910","Actor--critic (AC) methods;deep learning;policy gradients (PGs);Q-learning;reinforcement learning (RL);sequence-to-sequence (seq2seq) learning","Training;Analytical models;Maximum likelihood decoding;Computational modeling;Learning systems;Reinforcement learning","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Nonlinear Regression via Deep Negative Correlation Learning","L. Zhang; Z. Shi; M. Cheng; Y. Liu; J. Bian; J. T. Zhou; G. Zheng; Z. Zeng","Computer Science, Institute for Infocomm Research, 68705 Singapore, Singapore Singapore (e-mail: lzhang027@ntu.edu.sg); University of Amsterdam, Amsterdam, Amsterdam Netherlands (e-mail: iezlshi@gmail.com); Computer Science, Nankai University, 12538 Tianjin, Tianjin China (e-mail: cmm@nankai.edu.cn); CCCE & CS, Nankai University, 12538 Tianjin, Tianjin China (e-mail: nk12csly@mail.nankai.edu.cn); Computer Science, Nankai University, 12538 TIANJIN, TIANJIN China (e-mail: jiawang.bian@gmail.com); Computer Science, Institute of High Performance Computing, 208717 Singapore, Singapore Singapore (e-mail: joey.tianyi.zhou@gmail.com); Institute for Surgical Technology and Biomechanics, University of Bern, Bern, Select State/Province Switzerland 3014 (e-mail: guoyan.zheng@ieee.org); Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore, Singapore Singapore (e-mail: zengz@i2r.a-star.edu.sg)","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2019","PP","99","1","1","Nonlinear regression has been extensively employed in many computer vision problems (e.g., crowd counting, age estimation, affective computing). Under the umbrella of deep learning, two common solutions exist i) transforming nonlinear regression to a robust loss function which is jointly optimizable with the deep convolutional network, and ii) utilizing ensemble of deep networks. Although some improved performance is achieved, the former may be lacking due to the intrinsic limitation of choosing a single hypothesis and the latter usually suffers from much larger computational complexity. To cope with those issues, we propose to regress via an efficient ""divide and conquer"" manner. The core of our approach is the generalization of negative correlation learning that has been shown, both theoretically and empirically, to work well for non-deep regression problems. Without extra parameters, the proposed method controls the bias-variance-covariance trade-off systematically and usually yields a deep regression ensemble where each base model is both ""accurate"" and ""diversified."" Moreover, we show that each sub-problem in the proposed method has less Rademacher Complexity and thus is easier to optimize. Extensive experiments on several diverse and challenging tasks including crowd counting, personality analysis, age estimation, and image super-resolution demonstrate the superiority over challenging baselines.","","","10.1109/TPAMI.2019.2943860","Tianjin key S and T Projects on new generation AI; Tianjin Natural Science Foundation for Distinguished Young Scholars; the national youth talent support program; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8850209","deep learning;deep regression;negative correlation learning;convolutional neural network","Task analysis;Estimation;Training;Correlation;Computational modeling;Deep learning;Computer vision","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Approximate Policy-Based Accelerated Deep Reinforcement Learning","X. Wang; Y. Gu; Y. Cheng; A. Liu; C. L. P. Chen","School of Information and Control Engineering, China University of Mining and Technology, Xuzhou 221116, China, and also with the Xuzhou Key Laboratory of Artificial Intelligence and Big Data, Xuzhou 221116, China.; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou 221116, China, and also with the Xuzhou Key Laboratory of Artificial Intelligence and Big Data, Xuzhou 221116, China.; School of Information and Control Engineering, China University of Mining and Technology, Xuzhou 221116, China, and also with the Xuzhou Key Laboratory of Artificial Intelligence and Big Data, Xuzhou 221116, China (e-mail: chengyuhu@163.com).; School of Information Science and Technology, University of Science and Technology of China, Hefei 230026, China.; School of Computer Science and Engineering, South China University of Technology, Guangzhou 510006, China, and also with the Faculty of Science and Technology, University of Macau, Macau 999078, China.","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","11","In recent years, the deep reinforcement learning (DRL) algorithms have been developed rapidly and have achieved excellent performance in many challenging tasks. However, due to the complexity of network structure and a large amount of network parameters, the training of deep network is time-consuming, and consequently, the learning efficiency of DRL is limited. In this paper, aiming to speed up the learning process of DRL agent, we propose a novel approximate policy-based accelerated (APA) algorithm from the viewpoint of the error analysis of approximate policy iteration reinforcement learning algorithms. The proposed APA is proven to be convergent even with a more aggressive learning rate, making the DRL agent have a faster learning speed. Furthermore, to combine the accelerated algorithm with deep Q-network (DQN), Double DQN and deep deterministic policy gradient (DDPG), we proposed three novel DRL algorithms: APA-DQN, APA-Double DQN, and APA-DDPG, which demonstrates the adaptability of the accelerated algorithm with DRL algorithms. We have tested the proposed algorithms on both discrete-action and continuous-action tasks. Their superior performance demonstrates their great potential in the practical applications.","","","10.1109/TNNLS.2019.2927227","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8789695","Approximate policy;deep reinforcement learning (DRL);learning efficiency;value function estimate.","Approximation algorithms;Task analysis;Training;Acceleration;Convergence;Reinforcement learning;Graphics processing units","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Multimodal Deep Network Embedding With Integrated Structure and Attribute Information","C. Zheng; L. Pan; P. Wu","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai 200240, China.; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai 200240, China (e-mail: panli@sjtu.edu.cn).; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai 200240, China.","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","13","Network embedding is the process of learning low-dimensional representations for nodes in a network while preserving node features. Existing studies only leverage network structure information and emphasize the preservation of structural features. However, nodes in real-world networks often have a rich set of attributes providing extra semantic information. It has been demonstrated that both structural and attribute features are important for network analysis tasks. To preserve both features, we investigate the problem of integrating structure and attribute information to perform network embedding and propose a multimodal deep network embedding (MDNE) method. MDNE captures the non-linear network structures and the complex interactions among structures and attributes using a deep model consisting of multiple layers of non-linear functions. Since structures and attributes are two different types of information, a multimodal learning method is adopted to pre-process them and help the model to better capture the correlations between node structure and attribute information. We define the loss function employing structural and attribute proximities to preserve the respective features, and the representations are obtained by minimizing the loss function. Results of extensive experiments on four real-world data sets show that the proposed method performs significantly better than baselines on a variety of tasks, which demonstrates the effectiveness and generality of our method.","","","10.1109/TNNLS.2019.2920267","National Natural Science Foundation of China; National Key Research and Development Plan in China; Shanghai Sailing Program; Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8745502","Deep learning;multimodal learning;network analysis;network embedding.","Task analysis;Correlation;Learning systems;Feature extraction;Data mining;Social networking (online);Deep learning","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Deep Regionlets: Blended Representation and Deep Learning for Generic Object Detection","H. Xu; X. Lv; X. Wang; Z. Ren; N. Bodla; R. Chellappa","Apple Inc, Apple Inc, 93243 Cupertino, California United States (e-mail: hyxu@umd.edu); Intellifusion Inc., Intellifusion Inc., Redmond, Washington United States (e-mail: lvxutao@gmail.com); Intellifusion Inc., Intellifusion Inc., Redmond, Washington United States (e-mail: fanghuaxue@gmail.com); Wormpex AI Research, Wormpex AI Research, Bellevue, Washington United States (e-mail: renzhou200622@gmail.com); Department of Electrical and Computer Engineering, University of Maryland at College Park, 1068 College Park, Maryland United States (e-mail: nbodla@umiacs.umd.edu); Electrical and Computer Engineering, University of Maryland, College Park, Maryland United States (e-mail: rama@umiacs.umd.edu)","IEEE Transactions on Pattern Analysis and Machine Intelligence","","2019","PP","99","1","1","In this paper, we propose a novel object detection algorithm named ""Deep Regionlets"" by integrating deep neural networks and conventional detection schema for accurate generic object detection. Motivated by the advantages of regionlets on modeling object deformation and multiple aspect ratios, we incorporate regionlets into an end-to-end trainable deep learning framework. The deep regionlets framework consists of a region selection network and a deep regionlet learning module. Specifically, given a detection bounding box proposal, the region selection network provides guidance on where to select sub-regions from which features can be learned from. An object proposal typically contains 3-16 sub-regions. The regionlet learning module focuses on local feature selection and transformation to alleviate the effects of appearance variations. To this end, we first realize non-rectangular region selection within the detection framework to accommodate variations in object appearance. Moreover, we design a ""gating network"" within the regionlet leaning module to enable instance dependent soft feature selection and pooling. The Deep Regionlets framework is trained end-to-end without additional efforts. We present ablation studies and extensive experiments on the PASCAL VOC dataset and the Microsoft COCO dataset. The proposed method outperforms state-of-the-art algorithms, such as RetinaNet and Mask R-CNN, even without additional segmentation labels.","","","10.1109/TPAMI.2019.2957780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8924653","Object Detection;Deep Learning;Deep Regionlets;Spatial Transformation","Feature extraction;Detectors;Object detection;Proposals;Machine learning;Deformable models;Strain","","","","","","","","","","IEEE","IEEE Early Access Articles"
"XFlow: Cross-Modal Deep Neural Networks for Audiovisual Classification","C. Cangea; P. Veličković; P. Liò","Department of Computer Science and Technology, University of Cambridge, Cambridge CB03DF, U.K. (e-mail: ccc53@cst.cam.ac.uk).; Department of Computer Science and Technology, University of Cambridge, Cambridge CB03DF, U.K..; Department of Computer Science and Technology, University of Cambridge, Cambridge CB03DF, U.K..","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","10","In recent years, there have been numerous developments toward solving multimodal tasks, aiming to learn a stronger representation than through a single modality. Certain aspects of the data can be particularly useful in this case--for example, correlations in the space or time domain across modalities--but should be wisely exploited in order to benefit from their full predictive potential. We propose two deep learning architectures with multimodal cross connections that allow for dataflow between several feature extractors (XFlow). Our models derive more interpretable features and achieve better performances than models that do not exchange representations, usefully exploiting correlations between audio and visual data, which have a different dimensionality and are nontrivially exchangeable. This article improves on the existing multimodal deep learning algorithms in two essential ways: 1) it presents a novel method for performing cross modality (before features are learned from individual modalities) and 2) extends the previously proposed cross connections that only transfer information between the streams that process compatible data. Illustrating some of the representations learned by the connections, we analyze their contribution to the increase in discrimination ability and reveal their compatibility with a lip-reading network intermediate representation. We provide the research community with Digits, a new data set consisting of three data types extracted from videos of people saying the digits 0-9. Results show that both cross-modal architectures outperform their baselines (by up to 11.5%) when evaluated on the AVletters, CUAVE, and Digits data sets, achieving the state-of-the-art results.","","","10.1109/TNNLS.2019.2945992","DREAM CDT; European Unions Horizon 2020 Research and Innovation Programme PROPAG-AGEING; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894404","Audiovisual;cross modality;deep learning;integration;machine learning;multimodal.","Feature extraction;Task analysis;Videos;Correlation;Visualization;Neural networks;Deep learning","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Geometric Matrix Completion With Deep Conditional Random Fields","D. M. Nguyen; R. Calderbank; N. Deligiannis","Department of Electronics and Informatics, Vrije Universiteit Brussel, 1050 Brussels, Belgium, and also with imec, Leuven 3001, Belgium (e-mail: mdnguyen,ndeligia@etrovub.be).; Department of Electrical and Computer Engineering, Duke University, Durham, NC 27708 USA.; Department of Electronics and Informatics, Vrije Universiteit Brussel, 1050 Brussels, Belgium, and also with imec, Leuven 3001, Belgium.","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","15","The problem of completing high-dimensional matrices from a limited set of observations arises in many big data applications, especially recommender systems. The existing matrix completion models generally follow either a memory- or a model-based approach, whereas geometric matrix completion (GMC) models combine the best from both approaches. Existing deep-learning-based geometric models yield good performance, but, in order to operate, they require a fixed structure graph capturing the relationships among the users and items. This graph is typically constructed by evaluating a pre-defined similarity metric on the available observations or by using side information, e.g., user profiles. In contrast, Markov-random-fields-based models do not require a fixed structure graph but rely on handcrafted features to make predictions. When no side information is available and the number of available observations becomes very low, existing solutions are pushed to their limits. In this article, we propose a GMC approach that addresses these challenges. We consider matrix completion as a structured prediction problem in a conditional random field (CRF), which is characterized by a maximum a posteriori (MAP) inference, and we propose a deep model that predicts the missing entries by solving the MAP inference problem. The proposed model simultaneously learns the similarities among matrix entries, computes the CRF potentials, and solves the inference problem. Its training is performed in an end-to-end manner, with a method to supervise the learning of entry similarities. Comprehensive experiments demonstrate the superior performance of the proposed model compared to various state-of-the-art models on popular benchmark data sets and underline its superior capacity to deal with highly incomplete matrices.","","","10.1109/TNNLS.2019.2945111","Vrije Universiteit Brussel through Ph.D. bursary; Francqui Foundation through the 2016-2017 International Francqui Chair; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8889998","Deep conditional random field (CRF);deep learning;geometric matrix completion (GMC);mean-field inference;probabilistic graphical model.","Data models;Predictive models;Computational modeling;Neural networks;Measurement;Benchmark testing;Deep learning","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Label-less Learning for Emotion Cognition","M. Chen; Y. Hao","School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China, and also with the Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China.; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan 430074, China, and also with the Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan 430074, China (e-mail: yixuehao@ieee.org).","IEEE Transactions on Neural Networks and Learning Systems","","2019","PP","99","1","11","In this paper, we propose a label-less learning for emotion cognition (LLEC) to achieve the utilization of a large amount of unlabeled data. We first inspect the unlabeled data from two perspectives, i.e., the feature layer and the decision layer. By utilizing the similarity model and the entropy model, this paper presents a hybrid label-less learning that can automatically label data without human intervention. Then, we design an enhanced hybrid label-less learning to purify the automatic labeled data. To further improve the accuracy of emotion detection model and increase the utilization of unlabeled data, we apply enhanced hybrid label-less learning for multimodal unlabeled emotion data. Finally, we build a real-world test bed to evaluate the LLEC algorithm. The experimental results show that the LLEC algorithm can improve the accuracy of emotion detection significantly.","","","10.1109/TNNLS.2019.2929071","National Basic Research Program of China (973 Program); National Natural Science Foundation of China; China Postdoctoral Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8796387","Deep learning;emotion detection;label-less learning;multimodal emotion cognition.","Labeling;Cognition;Data models;Feature extraction;Deep learning;Learning systems;Emotion recognition","","","","3","","","","","","IEEE","IEEE Early Access Articles"
