"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Hybrid Deep-Learning-Based Anomaly Detection Scheme for Suspicious Flow Detection in SDN: A Social Multimedia Perspective","S. Garg; K. Kaur; N. Kumar; J. J. P. C. Rodrigues","Department of Electrical Engineering, École de technologie supérieure, Université du Québec, Montréal, QC, Canada; Department of Electrical Engineering, École de technologie supérieure, Université du Québec, Montréal, QC, Canada; Department of Computer Science and Engineering, Thapar Institute of Engineering and Technology (deemed to be university), Patiala, India; National Institute of Telecommunications (Inatel), Santa Rita do Sapuca, Brazil","IEEE Transactions on Multimedia","","2019","21","3","566","578","The continuous development and usage of multi-media-based applications and services have contributed to the exponential growth of social multimedia traffic. In this context, secure transmission of data plays a critical role in realizing all of the key requirements of social multimedia networks such as reliability, scalability, quality of information, and quality of service (QoS). Thus, a trust-based paradigm for multimedia analytics is highly desired to meet the increasing user requirements and deliver more timely and actionable insights. In this regard, software-defined networks (SDNs) play a vital role; however, several factors such as as-runtime security, and energy-aware networking limit its capabilities to facilitate efficient network control and management. Thus, with the view to enhance the reliability of the SDN, a hybrid deep-learning-based anomaly detection scheme for suspicious flow detection in the context of social multimedia is proposed. It consists of the following two modules: (1) an anomaly detection module that leverages improved restricted Boltzmann machine and gradient descent-based support vector machine to detect the abnormal activities, and (2) an end-to-end data delivery module to satisfy strict QoS requirements of the SDN, that is, high bandwidth and low latency. Finally, the proposed scheme has been experimentally evaluated on both real-time and benchmark datasets to prove its effectiveness and efficiency in terms of anomaly detection and data delivery essential for social multimedia. Further, a large-scale analysis over a Carnegie Mellon University (CMU)-based insider threat dataset has been conducted to identify its performance in terms of detecting malicious events such as-Identity theft, profile cloning, confidential data collection, etc.","","","10.1109/TMM.2019.2893549","National Funding from the FCT—Fundação para a Ciência e a Tecnologia; Finep, with resources from Funttel; Centro de Referência em Radiocomunicações—CRR project of the Instituto Nacional de Telecomunicações (Inatel), Brazil; Brazilian National Council for Research and Development (CNPq); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8613868","Anomaly detection;deep learning;flow routing;software defined networks;social multimedia","Anomaly detection;Security;Social network services;Iron;Routing;Support vector machines;Quality of service","Boltzmann machines;computer network security;gradient methods;learning (artificial intelligence);multimedia computing;multimedia systems;social networking (online);software defined networking;support vector machines;telecommunication computing","Carnegie Mellon University;deep-learning-ased anomaly detection;secure transmission;Boltzmann machine;trust-based paradigm;social multimedia networks;gradient descent-based support vector machine;anomaly detection module;SDN;energy-aware networking;software-defined networks","","15","46","","","","","IEEE","IEEE Journals"
"Predicting Software Anomalies Using Machine Learning Techniques","J. Alonso; L. Belanche; D. R. Avresky","Dept. of Comput. Archit., Tech. Univ. of Catalonia, Barcelona, Spain; Dept. of Software, Tech. Univ. of Catalonia, Barcelona, Spain; Int. Res. Inst. for Autonomic Network Comput., Boston, MA, USA","2011 IEEE 10th International Symposium on Network Computing and Applications","","2011","","","163","170","In this paper, we present a detailed evaluation of a set of well-known Machine Learning classifiers in front of dynamic and non-deterministic software anomalies. The system state prediction is based on monitoring system metrics. This allows software proactive rejuvenation to be triggered automatically. Random Forest approach achieves validation errors less than 1% in comparison to the well-known ML algorithms under a valuation. In order to reduce automatically the number of monitored parameters, needed to predict software anomalies, we analyze Lasso Regularization technique jointly with the Machine Learning classifiers to evaluate how the prediction accuracy could be guaranteed within an acceptable threshold. This allows to reduce drastically (around 60% in the best case) the number of monitoring parameters. The framework, based on ML and Lasso regularization techniques, has been validated using an ecommerce environment with Apache Tomcat server, and MySql database server.","","","10.1109/NCA.2011.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6038598","Software Anomalies;Software aging;Machine Learning;Software Rejuvenation","Prediction algorithms;Instruction sets;Machine learning algorithms;Predictive models;Monitoring;Computer crashes","decision trees;learning (artificial intelligence);pattern classification;program diagnostics;software maintenance;software metrics","software anomaly prediction;machine learning classifier;nondeterministic software anomaly;system state prediction;system metric monitoring;software proactive rejuvenation;random forest approach;Lasso regularization technique;ecommerce;Apache Tomcat server;MySql database server;decision tree","","22","27","","","","","IEEE","IEEE Conferences"
"Increasing anomaly handling efficiency in large organizations using applied machine learning","L. Jonsson","Ericsson AB and Linköping University, Sweden","2013 35th International Conference on Software Engineering (ICSE)","","2013","","","1361","1364","Maintenance costs can be substantial for large organizations (several hundreds of programmers) with very large and complex software systems. By large we mean lines of code in the range of hundreds of thousands or millions. Our research objective is to improve the process of handling anomaly reports for large organizations. Specifically, we are addressing the problem of the manual, laborious and time consuming process of assigning anomaly reports to the correct design teams and the related issue of localizing faults in the system architecture. In large organizations, with complex systems, this is particularly problematic because the receiver of an anomaly report may not have detailed knowledge of the whole system. As a consequence, anomaly reports may be assigned to the wrong team in the organization, causing delays and unnecessary work. We have so far developed two machine learning prototypes to validate our approach. The latest, a re-implementation and extension, of the first is being evaluated on four large systems at Ericsson AB. Our main goal is to investigate how large software development organizations can significantly improve development efficiency by replacing manual anomaly report assignment and fault localization with machine learning techniques. Our approach focuses on training machine learning systems on anomaly report databases; this is in contrast to many other approaches that are based on test case execution combined with program sampling and/or source code analysis.","","","10.1109/ICSE.2013.6606717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606717","Automatic Fault Localization;Anomaly Handling;Bug Assignment;Machine Learning;Stacked generalization;Large Software Systems;Ontologies","Organizations;Accuracy;Semantics;Databases;Ontologies;Routing;Software","learning (artificial intelligence);organisational aspects;program testing;software architecture;software development management;software fault tolerance;software maintenance;source coding","machine learning;complex software system;system architecture;software development organization;software development efficiency;manual anomaly report assignment;fault localization;training;anomaly report database;test case execution;program sampling;source code analysis;software maintenance;anomaly handling efficiency","","1","17","","","","","IEEE","IEEE Conferences"
"Deep Learning Based Detection of Sleeping Cells in Next Generation Cellular Networks","U. Masood; A. Asghar; A. Imran; A. N. Mian","Department of Electrical Engineering, Riphah International University, Lahore, Pakistan; University of Oklahoma, School of Electrical and Computer Engineering, Tulsa, USA; University of Oklahoma, School of Electrical and Computer Engineering, Tulsa, USA; Department of Computer Science, Information Technology University, Lahore, Pakistan","2018 IEEE Global Communications Conference (GLOBECOM)","","2018","","","206","212","The growing subscriber Quality of Experience demands are posing significant challenges to the mobile cellular network operators. One such challenge is the autonomic detection of sleeping cells in cellular networks. Sleeping Cell (SC) is a cell degradation problem, and a special case in Cell Outage Detection (COD) because it does not trigger any alarm due to hardware or software problems in the BS. To minimize the effect of such outages, researchers have proposed autonomous outage detection and compensation solutions. State-of-the-art SC detection depends on drive tests and subscriber complaints to identify the effected cells. However, this approach is quickly becoming unsustainable due to rising operational expenses. To address this particular issue, we employ a Deep Learning based framework which uses Minimization of Drive Tests (MDT) functionality introduced in LTE networks. In our proposed framework, MDT measurements are used to train the deep learning model. Anomalies or cell outages in the network can be then quickly detected and localized, thus significantly reducing the duty cycle of self-healing process in SON. In our simulation setup, we also quantitatively compare and demonstrate superior performance of our proposed approach with state of the art machine learning algorithm such as One Class SVM using multiple performance metrics.","","","10.1109/GLOCOM.2018.8647689","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8647689","Self Organizing Networks (SON);Self-healing;Anomaly Detection;Sleeping Cells;Minimization of Drive Tests (MDT);Deep Autoencoders;One Class SVM","Support vector machines;Deep learning;Data models;Interference;Training data;Cellular networks;Databases","cellular radio;learning (artificial intelligence);Long Term Evolution;support vector machines;telecommunication computing;telecommunication network reliability","autonomous outage detection;compensation solutions;state-of-the-art;subscriber complaints;effected cells;operational expenses;LTE networks;deep learning model;next generation cellular networks;mobile cellular network operators;autonomic detection;cell degradation problem;deep learning based framework;cell outage detection;growing subscriber quality of experience demands;self-healing process;SON;minimization of drive tests functionality;MDT","","2","11","","","","","IEEE","IEEE Conferences"
"CRADLE: Cross-Backend Validation to Detect and Localize Bugs in Deep Learning Libraries","H. V. Pham; T. Lutellier; W. Qi; L. Tan","University of Waterloo; University of Waterloo; University of Science and Technology of China; Purdue University","2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)","","2019","","","1027","1038","Deep learning (DL) systems are widely used in domains including aircraft collision avoidance systems, Alzheimer's disease diagnosis, and autonomous driving cars. Despite the requirement for high reliability, DL systems are difficult to test. Existing DL testing work focuses on testing the DL models, not the implementations (e.g., DL software libraries) of the models. One key challenge of testing DL libraries is the difficulty of knowing the expected output of DL libraries given an input instance. Fortunately, there are multiple implementations of the same DL algorithms in different DL libraries. Thus, we propose CRADLE, a new approach that focuses on finding and localizing bugs in DL software libraries. CRADLE (1) performs cross-implementation inconsistency checking to detect bugs in DL libraries, and (2) leverages anomaly propagation tracking and analysis to localize faulty functions in DL libraries that cause the bugs. We evaluate CRADLE on three libraries (TensorFlow, CNTK, and Theano), 11 datasets (including ImageNet, MNIST, and KGS Go game), and 30 pre-trained models. CRADLE detects 12 bugs and 104 unique inconsistencies, and highlights functions relevant to the causes of inconsistencies for all 104 unique inconsistencies.","","","10.1109/ICSE.2019.00107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812095","deep learning software testing;cross-implementation testing;bugs detection;software testing","Libraries;Computer bugs;Testing;Training;Atmospheric modeling;Task analysis;Deep learning","learning (artificial intelligence);neural nets;program debugging;software libraries","cross-backend validation;deep learning libraries;deep learning systems;DL software libraries;CRADLE;cross-implementation inconsistency checking;anomaly propagation tracking","","2","75","","","","","IEEE","IEEE Conferences"
"Anomaly Detection of System Logs Based on Natural Language Processing and Deep Learning","M. Wang; L. Xu; L. Guo","Key Laboratory of Space Utilization, Technology and Engineering Center for space Utilization, Chinese Academy of Sciences, Beijing, 100094, China; Key Laboratory of Space Utilization, Technology and Engineering Center for space Utilization, Chinese Academy of Sciences, Beijing, 100094, China; Key Laboratory of Space Utilization, Technology and Engineering Center for space Utilization, Chinese Academy of Sciences, Beijing, 100094, China","2018 4th International Conference on Frontiers of Signal Processing (ICFSP)","","2018","","","140","144","System logs record the execution trajectory of the system and exist in all components of the system. Nowadays, the systems are deployed in a distributed environment and they generate logs which contain complex format and rich semantic information. Simple statistical analysis methods cannot fully capture log information for effective abnormal detection of software systems. In this paper, we propose to analyze the logs by combining feature extraction methods from natural language processing and anomaly detection methods from deep learning. Two feature extraction algorithms, Word2vec and Term Frequency-Inverse Document Frequency (TF-IDF), are respectively adopted and compared here to obtain the log information, and then one deep learning method named Long Short-Term Memory (LSTM) is applied for the anomaly detection. To validate the effectiveness of the proposed method, we compare LSTM with other machine learning algorithms, including Gradient Boosting Decision Tree (GBDT) and Naïve Bayes, the results show that LSTM can perform the best for anomaly detection of system logs with both of the two feature extraction methods, indicating that LSTM can capture contextual semantic information effectively in log anomaly detection and will be a promising tool for log analysis.","","","10.1109/ICFSP.2018.8552075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8552075","anomaly detection;Word2vec;TF-IDF;LSTM;log analysis;natural language processing","Anomaly detection;Feature extraction;Logic gates;Semantics;Boosting;Decision trees","Bayes methods;decision trees;feature extraction;learning (artificial intelligence);natural language processing;pattern classification;statistical analysis;text analysis","long short-term memory;machine learning algorithms;deep learning method;anomaly detection methods;feature extraction methods;software systems;effective abnormal detection;log information;simple statistical analysis methods;rich semantic information;natural language processing;system logs;log anomaly detection;contextual semantic information;LSTM","","","17","","","","","IEEE","IEEE Conferences"
"Self-learning Machine Method for Anomaly Detection in Real Time Data","Y. Ardulov; K. Kucherova; S. Mescheryakov; D. Shchemelinin","Operations Department, RingCentral Inc., San Mateo, USA; Computer Engineering Department, St. Petersburg Polytechnic University, St. Petersburg, Russia; Computer Engineering Department, St. Petersburg Polytechnic University, St. Petersburg, Russia; Computer Engineering Department, St. Petersburg Polytechnic University, St. Petersburg, Russia","2018 10th International Congress on Ultra Modern Telecommunications and Control Systems and Workshops (ICUMT)","","2018","","","1","5","Cloud service monitoring requires robustness. Usually the service and its Key Performance Indicators (KPIs) are growing incongruently along with the growth of cloud infrastructure, dependencies and feature set. Even with validated software, physical misconfiguration can cause the service failure and may lead to service outage. That is why it is important to automatically detect any abnormal behavior and integrate it with the Event Management System (EMS) for proper and timely escalation. This paper presents a lightweight anomaly detection method, which is able to identify the pattern of metric's behavior and will be able to adjust itself to possible pattern modification caused by either new service releases and/or natural changes of utilization.","","","10.1109/ICUMT.2018.8631225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8631225","cloud monitoring;configuration management;anomaly detection","Monitoring;History;Anomaly detection;Switches;Telecommunications;Key performance indicator","cloud computing;learning (artificial intelligence);security of data","cloud service monitoring;KPIs;cloud infrastructure;validated software;physical misconfiguration;service failure;service outage;lightweight anomaly detection method;service releases;key performance indicators;event management system;pattern modification;self-learning machine method","","","4","","","","","IEEE","IEEE Conferences"
"An RBM Anomaly Detector for the Cloud","C. Monni; M. Pezzè; G. Prisco","USI Università della Svizzera Italiana; USI Università della Svizzera Italiana, Università degli Studi di Milano Bicocca; Università degli Studi di Salerno","2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)","","2019","","","148","159","Failures are unavoidable in complex software systems, and the intrinsic characteristics of cloud systems amplify the problem. Predicting failures before their occurrence by detecting anomalies in system metrics is a viable solution to enable failure preventing or mitigating actions. The most promising approaches for predicting failures exploit statistical analysis or machine learning to reveal anomalies and their correlation with possible failures. Statistical analysis approaches result in far too many false positives, which severely hinder their practical applicability, while accurate machine learning approaches need extensive training with seeded faults, which is often impossible in operative cloud systems. In this paper, we propose EmBeD, Energy-Based anomaly Detection in the cloud, an approach to detect anomalies at runtime based on the free energy of a Restricted Boltzmann Machine (RBM) model. The free energy is a stochastic function that can be used to efficiently score anomalies for detecting outliers. EmBeD analyzes the system behavior from raw metric data, does not require extensive training with seeded faults, and classifies the relation of anomalous behaviors with future failures with very few false positives. The experimental results presented in this paper confirm that EmBeD can precisely predict failure-prone behavior without training with seeded faults, thus overcoming the main limitations of current approaches.","","","10.1109/ICST.2019.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8730157","anomaly detection, failure prediction, cloud reliability, machine learning","Training;Computational modeling;Machine learning;Stochastic processes;Data models;Measurement;Cloud computing","Boltzmann machines;cloud computing;learning (artificial intelligence);statistical analysis","EmBeD;failure-prone behavior;seeded faults;RBM anomaly detector;complex software systems;system metrics;statistical analysis approaches;extensive training;operative cloud systems;free energy;detecting outliers;system behavior;machine learning approaches;energy-based anomaly detection;restricted Boltzmann machine model;metric data;stochastic function","","1","53","","","","","IEEE","IEEE Conferences"
"Towards Automated Anomaly Report Assignment in Large Complex Systems Using Stacked Generalization","L. Jonsson; D. Broman; K. Sandahl; S. Eldh","Ericsson AB, Stockholm, Sweden; Linkoping Univ., Linkoping, Sweden; Linkoping Univ., Linkoping, Sweden; Ericsson AB, Stockholm, Sweden","2012 IEEE Fifth International Conference on Software Testing, Verification and Validation","","2012","","","437","446","Maintenance costs can be substantial for organizations with very large and complex software systems. This paper describes research for reducing anomaly report turnaround time which, if successful, would contribute to reducing maintenance costs and at the same time maintaining a good customer perception. Specifically, we are addressing the problem of the manual, laborious, and inaccurate process of assigning anomaly reports to the correct design teams. In large organizations with complex systems this is particularly problematic because the receiver of the anomaly report from customer may not have detailed knowledge of the whole system. As a consequence, anomaly reports may be wrongly routed around in the organization causing delays and unnecessary work. We have developed and validated machine learning approach, based on stacked generalization, to automatically route anomaly reports to the correct design teams in the organization. A research prototype has been implemented and evaluated on roughly one year of real anomaly reports on a large and complex system at Ericsson AB. The prediction accuracy of the automation is approaching that of humans, indicating that the anomaly report handling time could be significantly reduced by using our approach.","","","10.1109/ICST.2012.124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200136","Automatic Fault Localization;Bug Assignment;Machine Learning;Stacked generalization;Large Software Systems;Bayesian Networks;Naive Bayes;Support Vector Machines","Training;Routing;Organizations;Bayesian methods;Machine learning;Support vector machines;Accuracy","customer satisfaction;large-scale systems;learning (artificial intelligence);organisational aspects;software maintenance","automated anomaly report assignment;large complex systems;stacked generalization;maintenance costs;organizations;software systems;customer perception;machine learning","","7","20","","","","","IEEE","IEEE Conferences"
"Machine learning-based run-time anomaly detection in software systems: An industrial evaluation","F. Huch; M. Golagha; A. Petrovska; A. Krauss","Technical University of Munich Munich, Germany; Technical University of Munich Munich, Germany; Technical University of Munich Munich, Germany; QAware GmbH Munich, Germany","2018 IEEE Workshop on Machine Learning Techniques for Software Quality Evaluation (MaLTeSQuE)","","2018","","","13","18","Anomalies are an inevitable occurrence while operating enterprise software systems. Traditionally, anomalies are detected by threshold-based alarms for critical metrics, or health probing requests. However, fully automated detection in complex systems is challenging, since it is very difficult to distinguish truly anomalous behavior from normal operation. To this end, the traditional approaches may not be sufficient. Thus, we propose machine learning classifiers to predict the system's health status. We evaluated our approach in an industrial case study, on a large, real-world dataset of 7.5 ·106 data points for 231 features. Our results show that recurrent neural networks with long short-term memory (LSTM) are more effective in detecting anomalies and health issues, as compared to other classifiers. We achieved an area under precision-recall curve of 0.44. At the default threshold, we can automatically detect 70% of the anomalies. Despite the low precision of 31 %, the rate in which false positives occur is only 4 %.","","","10.1109/MALTESQUE.2018.8368453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368453","","Anomaly detection;Time measurement;Software systems;Data models;Monitoring;Predictive models","learning (artificial intelligence);recurrent neural nets","industrial case study;health issues;run-time anomaly detection;industrial evaluation;enterprise software systems;health probing requests;anomalous behavior;threshold-based alarms critical metrics;machine learning classifiers;system health status prediction;recurrent neural networks;long short-term memory;LSTM;precision-recall curve","","","22","","","","","IEEE","IEEE Conferences"
